name,ds,type,date,address,X,Y,lat,lon,lukor,docs
28767,210,H2,2022-08-22 10:04:38,,356454.608,406064.172,64.12735272,-21.94798468,"http://lukor.or.is/lukor/?x=356454.608&y=406064.172&z=17&visiblelayers=54,55,58",
7072,210,H2,2022-08-22 9:48:30,,356316.39,406203.707,64.12854516,-21.95095281,"http://lukor.or.is/lukor/?x=356316.39&y=406203.707&z=17&visiblelayers=54,55,58",
7045,210,H1,2022-08-24 13:44:06,,356020.944,406447.347,64.13060443,-21.9572457,"http://lukor.or.is/lukor/?x=356020.944&y=406447.347&z=17&visiblelayers=54,55,58",
7028,210,U3,2023-04-27 14:38:06,,356457.922,406122.15,64.1278736,-21.94797221,"http://lukor.or.is/lukor/?x=356457.922&y=406122.15&z=17&visiblelayers=54,55,58",
7014,210,U3,2023-04-18 9:20:41,,356171.717,406337.549,64.12968383,-21.95404811,"http://lukor.or.is/lukor/?x=356171.717&y=406337.549&z=17&visiblelayers=54,55,58",
7006,210,U2,2023-04-18 16:18:36,,356143.654,406523.164,64.13133522,-21.95480171,"http://lukor.or.is/lukor/?x=356143.654&y=406523.164&z=17&visiblelayers=54,55,58",
77978,210,U2,2023-04-18 16:15:18,,355968.8143,406598.2559,64.13193474,-21.9584598,"http://lukor.or.is/lukor/?x=355968.8143&y=406598.2559&z=17&visiblelayers=54,55,58",
29915,109,U3,2023-05-11 15:19:35,,355376.875,408382.108,64.14766935,-21.97232212,"http://lukor.or.is/lukor/?x=355376.875&y=408382.108&z=17&visiblelayers=54,55,58",
4322,109,H2,2022-09-26 10:44:38,,355297.25,408609.942,64.14967718,-21.97417631,"http://lukor.or.is/lukor/?x=355297.25&y=408609.942&z=17&visiblelayers=54,55,58",
32251,109,G1,2022-10-24 13:47:31,,355183.263,408553.921,64.14912713,-21.97646154,"http://lukor.or.is/lukor/?x=355183.263&y=408553.921&z=17&visiblelayers=54,55,58",
27577,109,H2,2022-12-06 12:22:58,,355454.589,408395.47,64.14782183,-21.97074018,"http://lukor.or.is/lukor/?x=355454.589&y=408395.47&z=17&visiblelayers=54,55,58",
4315,109,H2,2022-12-07 11:58:16,,355156.028,408580.81,64.14935655,-21.97704648,"http://lukor.or.is/lukor/?x=355156.028&y=408580.81&z=17&visiblelayers=54,55,58",
4354,109,H1,2022-09-29 13:12:39,,355218.343,408418.56,64.14792909,-21.97561073,"http://lukor.or.is/lukor/?x=355218.343&y=408418.56&z=17&visiblelayers=54,55,58",
7001,210,U2,2023-04-18 16:17:20,,356069.2333,406513.2541,64.13121523,-21.95631857,"http://lukor.or.is/lukor/?x=356069.2333&y=406513.2541&z=17&visiblelayers=54,55,58",
7114,210,G1,2022-10-06 18:28:28,,356366.903,406294.08,64.12937607,-21.95000343,"http://lukor.or.is/lukor/?x=356366.903&y=406294.08&z=17&visiblelayers=54,55,58",
6169,170,G1,2023-06-01 16:11:54,,355403.297,408194.709,64.14600137,-21.97159898,"http://lukor.or.is/lukor/?x=355403.297&y=408194.709&z=17&visiblelayers=54,55,58",
7017,210,U3,2023-04-18 9:22:30,,356217.806,406281.162,64.1291979,-21.95304882,"http://lukor.or.is/lukor/?x=356217.806&y=406281.162&z=17&visiblelayers=54,55,58",
7079,210,H3,2022-08-26 9:03:08,,356431.256,406052.044,64.12723428,-21.94845196,"http://lukor.or.is/lukor/?x=356431.256&y=406052.044&z=17&visiblelayers=54,55,58",
27713,210,G1,2022-10-06 18:27:25,,356057.51,406293.729,64.12924332,-21.9563483,"http://lukor.or.is/lukor/?x=356057.51&y=406293.729&z=17&visiblelayers=54,55,58",
77977,210,U2,2023-04-18 16:14:51,,355959.4173,406621.5477,64.13213949,-21.95867491,"http://lukor.or.is/lukor/?x=355959.4173&y=406621.5477&z=17&visiblelayers=54,55,58",
